episode,reward,avg50,avg100,epsilon,steps
446,173.44,124.31,92.94,0.10807,889
447,213.07,123.58,95.76,0.10753,588
448,186.97,123.5,95.67,0.10699,479
449,223.69,127.7,96.26,0.10646,804
450,196.16,131.09,98.89,0.10593,519
451,172.03,135.94,98.1,0.1054,837
452,234.39,136.47,101.4,0.10487,630
453,242.16,137.02,102.04,0.10435,684
454,111.09,140.96,101.79,0.10383,972
455,-9.33,136.15,102.0,0.10331,424
456,235.74,138.9,102.38,0.1028,838
457,136.27,137.8,102.57,0.10228,1000
458,192.55,137.53,106.75,0.10177,392
459,211.1,137.23,109.7,0.10127,295
460,232.43,139.15,112.26,0.10076,299
461,266.5,145.56,115.72,0.10026,275
462,48.28,147.23,113.78,0.09976,1000
463,225.34,147.54,116.33,0.09926,298
464,246.88,148.56,116.76,0.09877,639
465,-125.04,141.31,113.56,0.09827,86
466,281.85,145.17,117.16,0.09778,197
467,241.89,151.26,118.42,0.0973,944
468,202.35,153.52,120.58,0.09681,436
469,182.33,158.93,121.98,0.09633,548
470,222.66,159.25,124.9,0.09585,552
471,269.66,160.17,125.78,0.09537,287
472,239.0,163.89,125.57,0.09489,414
473,227.48,169.58,128.57,0.09442,333
474,13.1,165.69,127.11,0.09395,184
475,237.56,168.96,130.31,0.09348,546
476,210.52,168.9,132.99,0.09301,705
477,221.5,177.39,134.19,0.09255,451
478,235.86,178.64,134.39,0.09209,370
479,143.78,180.04,138.03,0.09163,720
480,231.19,180.03,141.12,0.09117,332
481,-16.65,180.69,138.75,0.09072,120
482,251.83,184.62,139.75,0.09027,615
483,253.82,185.57,141.33,0.08982,291
484,69.57,182.42,142.73,0.08937,137
485,-189.16,174.79,141.9,0.08892,240
486,211.77,174.72,142.66,0.08848,599
487,242.14,178.14,143.04,0.08804,431
488,239.4,178.56,143.92,0.0876,579
489,255.54,179.47,147.34,0.08716,406
490,58.68,176.09,146.87,0.08673,160
491,257.37,177.79,147.86,0.08629,425
492,244.8,178.02,150.95,0.08586,491
493,214.96,183.21,150.69,0.08543,378
494,227.38,183.38,152.68,0.08501,374
495,65.14,179.22,151.83,0.08458,1000
496,248.46,180.72,152.52,0.08416,412
497,222.6,180.91,152.25,0.08374,387
498,221.33,181.6,152.55,0.08333,235
499,244.57,182.02,154.86,0.08291,287
500,244.01,182.97,157.03,0.0825,918
